Time	Node	Interface	Type	Packets	Kilobytes	PacketsRaw	KilobytesRaw
3	cons_1	combined	Drop	0	0	0	0
3	cons_2	combined	Drop	0	0	0	0
3	cons_3	combined	Drop	0	0	0	0
3	cons_4	combined	Drop	0	0	0	0
3	cons_5	combined	Drop	0	0	0	0
3	cons_6	combined	Drop	0	0	0	0
3	cons_7	combined	Drop	0	0	0	0
3	cons_8	combined	Drop	0	0	0	0
3	cons_9	combined	Drop	0	0	0	0
3	cons_10	combined	Drop	0	0	0	0
3	cons_11	combined	Drop	0	0	0	0
3	cons_12	combined	Drop	0	0	0	0
3	cons_13	combined	Drop	0	0	0	0
3	cons_14	combined	Drop	0	0	0	0
3	cons_15	combined	Drop	0	0	0	0
3	cons_16	combined	Drop	0	0	0	0
3	prod_1	combined	Drop	0	0	0	0
3	prod_2	combined	Drop	0	0	0	0
3.5	rtr_1	combined	Drop	0	0	0	0
3.5	rtr_2	combined	Drop	0	0	0	0
3.5	rtr_3	combined	Drop	0	0	0	0
3.5	rtr_4	combined	Drop	0	0	0	0
3.5	rtr_5	combined	Drop	0	0	0	0
3.5	rtr_6	combined	Drop	0	0	0	0
3.5	rtr_7	combined	Drop	0	0	0	0
3.5	rtr_8	combined	Drop	0	0	0	0
3.5	rtr_9	combined	Drop	0	0	0	0
3.5	rtr_10	combined	Drop	0	0	0	0
3.5	rtr_11	combined	Drop	0	0	0	0
3.5	rtr_12	combined	Drop	0	0	0	0
3.5	rtr_13	combined	Drop	0	0	0	0
3.5	rtr_14	combined	Drop	0	0	0	0
3.5	rtr_15	combined	Drop	0	0	0	0
3.5	cons_1	combined	Drop	0	0	0	0
3.5	cons_2	combined	Drop	0	0	0	0
3.5	cons_3	combined	Drop	0	0	0	0
3.5	cons_4	combined	Drop	0	0	0	0
3.5	cons_5	combined	Drop	0	0	0	0
3.5	cons_6	combined	Drop	0	0	0	0
3.5	cons_7	combined	Drop	0	0	0	0
3.5	cons_8	combined	Drop	0	0	0	0
3.5	cons_9	combined	Drop	0	0	0	0
3.5	cons_10	combined	Drop	0	0	0	0
3.5	cons_11	combined	Drop	0	0	0	0
3.5	cons_12	combined	Drop	0	0	0	0
3.5	cons_13	combined	Drop	0	0	0	0
3.5	cons_14	combined	Drop	0	0	0	0
3.5	cons_15	combined	Drop	0	0	0	0
3.5	cons_16	combined	Drop	0	0	0	0
3.5	prod_1	combined	Drop	0	0	0	0
3.5	prod_2	combined	Drop	0	0	0	0
4	rtr_1	combined	Drop	0	0	0	0
4	rtr_2	combined	Drop	0	0	0	0
4	rtr_3	combined	Drop	0	0	0	0
4	rtr_4	combined	Drop	0	0	0	0
4	rtr_5	combined	Drop	0	0	0	0
4	rtr_6	combined	Drop	0	0	0	0
4	rtr_7	combined	Drop	0	0	0	0
4	rtr_8	combined	Drop	0	0	0	0
4	rtr_9	combined	Drop	0	0	0	0
4	rtr_10	combined	Drop	0	0	0	0
4	rtr_11	combined	Drop	0	0	0	0
4	rtr_12	combined	Drop	0	0	0	0
4	rtr_13	combined	Drop	0	0	0	0
4	rtr_14	combined	Drop	0	0	0	0
4	rtr_15	combined	Drop	0	0	0	0
4	cons_1	combined	Drop	0	0	0	0
4	cons_2	combined	Drop	0	0	0	0
4	cons_3	combined	Drop	0	0	0	0
4	cons_4	combined	Drop	0	0	0	0
4	cons_5	combined	Drop	0	0	0	0
4	cons_6	combined	Drop	0	0	0	0
4	cons_7	combined	Drop	0	0	0	0
4	cons_8	combined	Drop	0	0	0	0
4	cons_9	c
